352,   93,   8,    25,   20,   16,   15,   10,   3,   10,   3,   10,    7,    5,   2,    7,   5,    6,    4,    9,   3,    2,   1;
519,  260,   6,    24,   25,    8,    2,   10,   3,   10,   3,   11,    8,    4,   1,    6,   7,    8,    5,   10,   2,    6,   1;
526,  217,   7,    25,   23,   10,    5,    9,   2,    9,   2,   12,    7,    3,   1,    7,   6,    7,    6,    9,   3,    3,   2;
584,  277,   4,    23,   27,    9,    3,   11,   4,   11,   4,   10,    9,    4,   2,    8,   5,    6,    5,   10,   2,    4,   2;
616,  175,   3,    27,   26,    7,    8,   15,   5,   14,   5,    9,    7,    3,   2,    6,   5,    5,    4,    8,   5,    2,   1;
604,   47,   8,    28,   25,   15,    5,   13,   5,   13,   6,   11,    6,    5,   2,    7,   4,    9,    4,    9,   6,    3,   1;
659,   51,   7,    22,   20,   17,    7,   14,   7,   15,   7,   12,    5,    4,   3,    8,   3,    7,    4,    8,   7,    5,   1; 
693,   99,   8,    30,   15,   20,    8,   15,   8,   16,   7,    9,    9,    5,   3,    7,   4,    7,    3,    9,   5,    4,   1;
851,  352,   4,    25,   30,   11,    4,   12,   5,   12,   4,   10,    8,    3,   2,    9,   3,    6,    5,    9,   4,    2,   2; 
779,  115,   2,    31,   19,   16,    6,    8,   6,   10,   7,   13,    6,    4,   3,   10,   3,    8,    5,    9,   8,    3,   1; 
